customer_id,age,tenure_months,monthly_charges,num_services,support_calls,satisfaction_score,churn,gender_male,contract_type_ord,region_North,region_South,region_West,payment_Cash,payment_Transfer,tenure_years,charges_per_service,support_calls_per_year,service_intensity,satisfaction_per_charge,log_monthly_charges,is_long_tenure,has_many_support_calls,is_low_satisfaction
1001,41.7,14.0,76.92,9.0,3.0,4.1,0,1,0,0,1,0,0,1,1.1666666666666667,7.692,1.3846153846153844,0.6,0.05261806981519507,4.3556826593342794,0,0,0
1002,25.5,22.0,79.02,3.0,5.0,3.5,0,0,1,0,0,0,1,0,1.8333333333333333,19.755,1.7647058823529413,0.13043478260869565,0.04373906523369158,4.382276603429089,0,1,0
1003,47.0,42.0,104.94,8.0,1.0,4.5,0,1,0,0,0,0,1,0,3.5,11.66,0.2222222222222222,0.18604651162790697,0.042476873702095526,4.66287289611638,1,0,0
1004,49.3,10.0,20.47,3.0,8.0,3.6,0,0,1,1,0,0,0,0,0.8333333333333334,5.1175,4.363636363636363,0.2727272727272727,0.16767582673497905,3.0666566118906897,0,1,0
1005,18.0,15.0,105.34,7.0,7.0,3.1,1,1,2,1,0,0,0,1,1.25,13.1675,3.111111111111111,0.4375,0.029151777318036486,4.666641508076192,0,1,0
1006,38.349999999999994,36.0,81.91,5.0,7.0,3.9,0,1,2,0,0,0,0,1,3.0,13.651666666666666,1.75,0.13513513513513514,0.04703895790616331,4.417755682128127,1,1,0
1007,42.56672059317285,40.0,36.27,4.0,1.0,2.8,1,1,1,1,0,0,1,0,3.3333333333333335,7.2540000000000004,0.23076923076923073,0.0975609756097561,0.07512744834987925,3.618188713491167,1,0,0
1008,34.2,8.0,97.29,1.0,7.0,2.4,1,0,2,1,0,0,0,1,0.6666666666666666,48.645,4.2,0.1111111111111111,0.024417539932851763,4.587922292578538,0,1,0
1009,37.8,30.0,105.55,6.0,8.0,2.9,0,0,1,0,1,0,1,0,2.5,15.078571428571427,2.2857142857142856,0.1935483870967742,0.02721726888784608,4.668614358544626,1,1,0
1010,27.8,31.0,45.43,3.0,1.0,1.7,1,1,2,1,0,0,0,1,2.5833333333333335,11.3575,0.27906976744186046,0.09375,0.03661425802283007,3.8379458020318302,1,0,1
1011,48.6,30.0,111.88,5.0,7.0,4.2,1,0,0,0,1,0,1,0,2.5,18.646666666666665,2.0,0.16129032258064516,0.03720765414599575,4.726325307544559,1,1,0
